Pos,Latitud,Longitud,Cuenca,Distancia,Variacion,area,EC,Rosa,Regadios,Energia,CF,LCOE,Emisiones
991,40.15897909,-5.318850923,Tietar,11184.56406,312.277,1075.051,26,0.027320508,106,168061.83237254698,17.5,60.87,0.03
992,40.13542819,-5.312111571,Tietar,10822.4061,312.592,10415.877,25,0.070980762,117,1633772.429555893,17.5,60.87,0.27
993,40.1482342,-5.312547925,Tietar,10665.47601,312.551,613.891,27,0.037320508,115,95757.93216836872,17.5,60.87,0.02
994,40.13999977,-5.309850144,Tietar,10541.6076,312.599,1025.118,25,0.070980762,128,160249.90912899573,17.5,60.87,0.03
995,40.18708983,-5.313414572,Tietar,11289.34324,311.013,169.806,16,-0.045980762,9,26055.385621601803,17.5,60.87,0.0
996,40.1635518,-5.311000747,Tietar,10549.80012,312.248,617.06,25,-0.008660254,88,96407.78195831849,17.5,60.87,0.02
997,40.23671161,-5.315643736,Tietar,14183.08518,304.634,118.57,31,-0.08330127,0,18237.677134010468,17.5,60.87,0.0
998,40.18847555,-5.311286101,Tietar,11167.73872,311.045,477.43,16,-0.045980762,7,74257.8817827647,17.5,60.87,0.01
999,40.16420777,-5.309003041,Tietar,10387.22695,312.251,5791.115,25,0.005,88,907406.7338598276,17.5,60.87,0.15
1000,40.12723302,-5.303764429,Tietar,10360.02766,312.524,450.527,24,0.073660254,100,70355.06732078851,17.5,60.87,0.01
1001,40.12718235,-5.302538431,Tietar,10262.00416,312.521,231.713,24,0.073660254,106,35829.01382197347,17.5,60.87,0.01
1002,40.12728602,-5.302338113,Tietar,10242.25872,312.523,201.943,24,0.077320508,109,31268.959804410464,17.5,60.87,0.01
1004,40.12988803,-5.300315375,Tietar,9993.51983,312.541,2699.695,24,0.063660254,139,423433.38361962925,17.5,60.87,0.07
1005,40.12948726,-5.299306941,Tietar,9923.621631,312.536,1300.793,24,0.058660254,138,203899.75206013845,17.5,60.87,0.03
1008,40.12089442,-5.291847306,Tietar,9648.971723,312.46,2144.092,15,0.08,117,336147.18349666306,17.5,60.86,0.06
1011,40.13130458,-5.148977166,Tietar,3060.641003,335.715,1696.806,83,-0.022320508,12,265823.55764801695,17.5,60.86,0.04
1012,40.15963737,-5.150828038,Tietar,19.75504071,344.935,1704.976,63,-0.054641016,11,267117.3961409204,17.5,60.86,0.04
1013,40.16386936,-5.15042182,Tietar,391.6166787,347.121,7206.553,57,-0.059641016,9,1129706.02053036,17.5,60.86,0.19
1014,40.15910815,-5.15010162,Tietar,101.2629765,345.035,749.435,64,-0.054641016,11,117271.20340882901,17.5,60.86,0.02
1015,40.13010385,-5.147977413,Tietar,3205.337844,335.76,660.533,83,-0.022320508,9,103593.24443102922,17.5,60.86,0.02
1016,40.13431608,-5.148180387,Tietar,2741.591767,336.902,343.604,83,-0.022320508,8,53425.17670932556,17.5,60.86,0.01
1017,40.14311631,-5.148528673,Tietar,1781.68502,339.586,73.103,82,-0.032320508,10,11075.834980046637,17.5,60.86,0.0
1018,40.16740097,-5.14954695,Tietar,713.883989,349.151,4053.189,53,-0.049641016,9,635213.2401394991,17.5,60.86,0.11
1019,40.15715769,-5.148670485,Tietar,353.4260687,344.862,1643.723,68,-0.044641016,13,257346.06615022663,17.5,60.86,0.04
1020,40.13194514,-5.145523108,Tietar,3046.770255,337.057,1542.967,83,-0.007320508,3,241717.6097757175,17.5,60.86,0.04
1021,40.12740039,-5.14489499,Tietar,3550.269441,335.939,1102.147,82,-0.013660254,3,172656.4429940052,17.5,60.86,0.03
1022,40.15910085,-5.145829169,Tietar,267.4194853,347.098,40695.692,65,-0.059641016,6,6380881.969740079,17.5,60.86,1.06
1023,40.14816132,-5.145499345,Tietar,1384.075457,342.666,898.717,80,-0.040980762,2,140727.83248373293,17.5,60.86,0.02
1024,40.16275539,-5.145774719,Tietar,99.24684605,348.71,8071.678,59,-0.059641016,7,1265225.7427320997,17.5,60.86,0.21
1025,40.12547641,-5.143204048,Tietar,3791.509734,335.92,1209.577,80,-0.005,4,189597.04057392615,17.5,60.86,0.03
1026,40.17017107,-5.14643233,Tietar,872.1726027,352.159,701.731,51,-0.059641016,7,109452.09384772723,17.5,60.86,0.02
1027,40.14216874,-5.143561858,Tietar,2063.857166,341.183,5411.823,82,-0.030980762,1,848283.5156073044,17.5,60.86,0.14
